Фамилия;Имя;Телефон;Комментарий
Костин;Фёдор;+7(908)087-56-81;нет комментария
Чернышев;Георгий;+7(991)049-14-96;личный
Сорокин;Артём;+7(921)208-77-45;личный
Булгаков;Василий;+7(948)426-57-17;рабочий
Журавлева;Милана;+7(935)370-73-75;нет комментария
Петров;Кирилл;+7(976)479-24-13;личный
Пахомова;Амина;+7(950)241-11-32;личный
Герасимов;Родион;+7(986)426-23-29;личный
Кудряшова;Анна;+7(933)655-33-38;нет комментария
Павлов;Илья;+7(946)939-63-48;личный
Семенова;Алина;+7(987)069-90-51;рабочий
Фролова;Ксения;+7(982)738-97-32;личный
